Reactant,R_SinglePointEnergy,R_SolvEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,R_SolvEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
mol100_,-1551.9605995,-0.0785591999999724,0.028831,-1552.0103276999998,mol100_minus2Na,-1227.3211063,-0.08270979999997508,0.033163,-1227.3706531,1.9946597823463805
mol113_,-1078.7021614,-0.1021739999998772,0.03616,-1078.7681753999998,mol113_minus2Na,-754.1073591,-0.08113499999990381,0.043446,-754.1450480999999,1.7695214906435983
mol119_,-1167.1026992,-0.10264559999995981,0.034495,-1167.1708497999998,mol119_minus2Na,-842.5358538,-0.03470089999996162,0.043515,-842.5270397,2.0509263276653247
mol134_,-1493.3152623,-0.08942200000001321,0.058711,-1493.3459733000002,mol134_minus3Na,-1005.9804223,-0.02607629999999972,0.051788,-1005.9547106,5.910853060754338
mol148_,-1527.4164236,-0.11889410000003409,0.029369,-1527.5059486999999,mol148_minus2Na,-1202.7015147,-0.05697890000010375,0.027278,-1202.7312156,3.832230864639152
mol149_,-1330.32616,-0.1465729999999894,0.049064,-1330.423669,mol149_minus2Na,-1005.8284651,-0.06262919999994665,0.057158,-1005.8339363,1.3151631846915128
mol156_,-1680.6511165,-0.18115560000001096,0.044649,-1680.7876231,mol156_minus3Na,-1193.4952982,-0.0766484999999193,0.041242,-1193.5307047,4.6922838197663665
mol160_,-1680.6640782,-0.16912380000007943,0.043613,-1680.789589,mol160_minus3Na,-1193.5040183,-0.07828699999981836,0.042163,-1193.5401422999998,4.624511805636395
mol165_,-1527.4564901,-0.10489959999995335,0.03164,-1527.5297497000001,mol165_minus2Na,-1202.8899873,-0.035221599999886166,0.041384,-1202.8838248999998,2.0796983899090677
mol169_,-1117.9400487,-0.14413469999999506,0.061828,-1118.0223554,mol169_minus2Na,-793.3324579,-0.09425839999994423,0.061563,-793.3651533,2.233134422188703
mol172_,-960.6776037,-0.09022420000007969,0.119612,-960.6482159000001,mol172_minus2Na,-635.9613284,-0.036432300000001305,0.123479,-635.8742817,3.8213612374988126
mol177_,-1629.6862301,-0.1291106999999556,-0.005923,-1629.8212638,mol177_minus3Na,-1142.4733417,-0.02723140000011881,-0.009487,-1142.5100601000001,5.184678337564515
mol17_,-1318.8885756,-0.14948419999996077,0.04687,-1318.9911898,mol17_minus3Na,-831.751778,-0.07753010000010363,0.050046,-831.7792621000001,4.284195920609255
mol180_,-1280.486208,-0.0979531999998926,0.042961,-1280.5412001999998,mol180_minus2Na,-955.7761102,-0.03223560000003545,0.050904,-955.7574418,3.9550267663347456
mol201_,-677.2767389,-0.057959199999913835,0.010453,-677.3242451,mol201_minus1Na,-514.8831185,-0.037774099999978716,0.008999,-514.9118936,4.51210842307035
mol202_,-1527.4206736,-0.11709350000000995,0.03094,-1527.5068271,mol202_minus2Na,-1202.6617933,-0.0772721000000729,0.03414,-1202.7049254,4.201879821991334
mol212_,-1182.3650152,-0.11654870000006667,0.076173,-1182.4053909000002,mol212_minus2Na,-857.5934893,-0.10051020000003064,0.075342,-857.6186575,3.9955038482691125
mol21_,-1067.8030548,-0.12494650000007823,0.040557,-1067.8874443,mol21_minus2Na,-743.2946062,-0.035857899999996334,0.053197,-743.2772671,1.5933257734350552
mol224_,-1026.3327802,-0.0628617000002123,0.032297,-1026.3633449000001,mol224_minus2Na,-701.437,-0.10560269999996308,0.031302,-701.5113007,4.884105731462121
