idx,canonicalsmiles,precursor,capacity,molwt
0,[Na][O]B([O][Na])c1ccccc1,B(C1=CC=CC=C1)(O)O,161.5804814796954,165.89600000000002
1,N#Cc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)C#N)(O)O,140.41232625247795,190.906
2,[Na][O]B(CCc1ccccc1)[O][Na],B(CCC1=CC=CC=C1)(O)O,138.2085875512016,193.95000000000007
3,Cc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)C)(O)O,148.98348491052033,179.92300000000003
4,COc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)OC)(O)O,136.8174863239225,195.92200000000005
5,Fc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1F)(O)O,145.772682833688,183.886
6,CCCCB([O][Na])[O][Na],B(CCCC)(O)O,183.71797976474951,145.90600000000006
7,Fc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)F)(O)O,145.772682833688,183.886
8,CCCCCCB([O][Na])[O][Na],B(CCCCCC)(O)O,154.09034005263013,173.96000000000012
9,COc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1OC)(O)O,136.8174863239225,195.92200000000005
10,N#Cc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)C#N)(O)O,140.41232625247795,190.906
11,COc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)OC)(O)O,136.8174863239225,195.92200000000005
12,O=Cc1ccsc1B([O][Na])[O][Na],B(C1=C(C=CS1)C=O)(O)O,134.07135096684198,199.93500000000003
13,[Na][O]B([O][Na])c1cccs1,B(C1=CC=CS1)(O)O,155.91423909004249,171.925
14,O=Cc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)C=O)(O)O,138.23994902455598,193.90600000000003
15,Fc1ccc(B([O][Na])[O][Na])cn1,B(C1=CN=C(C=C1)F)(O)O,144.99364732496483,184.874
16,CB([O][Na])[O][Na],B(C)(O)O,258.18016427214604,103.82499999999996
17,CCCB([O][Na])[O][Na],B(CCC)(O)O,203.2587110575266,131.87900000000002
18,CCB([O][Na])[O][Na],B(CC)(O)O,227.45100257573532,117.85199999999996
19,[Na][O]B([O][Na])c1cccnc1,B(C1=CN=CC=C1)(O)O,160.62387979408183,166.884
20,Cc1csc(B([O][Na])[O][Na])c1,B(C1=CC(=CS1)C)(O)O,144.1530908812788,185.95200000000003
21,O=Cc1ccccc1B([O][Na])[O][Na],B(C1=CC=CC=C1C=O)(O)O,138.23994902455598,193.90600000000003
22,CCc1ccc(B([O][Na])[O][Na])cc1,B(C1=CC=C(C=C1)CC)(O)O,138.2085875512016,193.95000000000007
23,Cc1ccc(B([O][Na])[O][Na])cc1F,B(C1=CC(=C(C=C1)C)F)(O)O,135.44110571592344,197.913
24,Cc1ccc(B([O][Na])[O][Na])c(F)c1,B(C1=C(C=C(C=C1)C)F)(O)O,135.44110571592344,197.913
25,[Na][O]B([O][Na])c1ccsc1,B(C1=CSC=C1)(O)O,155.91423909004249,171.925
26,[Na][O]B(/C=C/c1ccccc1)[O][Na],B(/C=C/C1=CC=CC=C1)(O)O,139.66027673864738,191.93400000000003
27,[Na][O]B([O][Na])C1=CCCCC1,B(C1=CCCCC1)(O)O,157.7465488651402,169.92800000000005
28,[Na][O]B([O][Na])C1CCCCC1,B(C1CCCCC1)(O)O,155.89701039614957,171.94400000000007
29,[Na][O]B([O][Na])C1CCC1,B(C1CCC1)(O)O,186.2919977451911,143.89000000000004
30,O=c1[nH]cc(B([O][Na])[O][Na])c(=O)[nH]1,B(C1=CNC(=O)NC1=O)(O)O,134.11495249690077,199.87
31,Cc1cccc(C)c1B([O][Na])[O][Na],B(C1=C(C=CC=C1C)C)(O)O,138.2085875512016,193.95000000000007
32,[Na][O]B([O][Na])c1ccco1,B(C1=CC=CO1)(O)O,171.98814012559947,155.857
33,COc1ccc(B([O][Na])[O][Na])cn1,B(C1=CN=C(C=C1)OC)(O)O,136.1310017548908,196.91000000000005
34,COc1ncccc1B([O][Na])[O][Na],B(C1=C(N=CC=C1)OC)(O)O,136.1310017548908,196.91000000000005
35,O=Cc1ccc(B([O][Na])[O][Na])s1,B(C1=CC=C(S1)C=O)(O)O,134.07135096684198,199.93500000000003
