cluster,idx,canonicalsmiles
0,3,CB(O[Na])O[Na]
0,4,CCCB(O[Na])O[Na]
0,5,CCB(O[Na])O[Na]
0,13,CC(C)B(O[Na])O[Na]
0,14,[Na]OB(O[Na])C1CC1
0,92,[Na]OB(CCl)O[Na]
0,93,N#CB(O[Na])O[Na]
0,98,C#CB(O[Na])O[Na]
0,123,FCB(O[Na])O[Na]
0,157,FCCB(O[Na])O[Na]
0,235,CCB(CC)C(=O)O[Na]
0,306,COCB(O[Na])O[Na]
0,316,[Na]OB(CP)O[Na]
0,322,CBOB(O[Na])O[Na]
0,417,CC#CB(O[Na])O[Na]
0,458,[Na]OB(O[Na])B1CC1
0,541,[Na]OB(O[Na])B1CO1
0,542,C#CCB(O[Na])O[Na]
0,621,CCC(=O)c1ccc(O[Na])c(B(O[Na])O[Na])c1
0,673,[Na]OB(O[Na])O[Na]
0,703,COc1c(O[Na])cccc1B(O[Na])O[Na]
0,705,FB(O[Na])O[Na]
0,712,[Na]OB(Cl)O[Na]
0,720,O=C(O[Na])c1ccc(OB(O[Na])O[Na])cc1
0,757,O=C(O[Na])c1ccccc1OB(O[Na])O[Na]
0,783,O=P(O[Na])(O[Na])OB(O[Na])O[Na]
4,230,[Na]OB(O[Na])c1ccc(C(c2cc(Br)c(O[Na])cc2O[Na])c2cc(Br)c(O[Na])cc2O[Na])cc1
4,443,O=C(/C=C/c1c(B(O[Na])O[Na])c(B(O[Na])O[Na])c(/C=C/C(=O)O[Na])c(B(O[Na])O[Na])c1B(O[Na])O[Na])O[Na]
4,721,O=C(O[Na])c1cccc(OB(O[Na])O[Na])c1
8,41,O=P(CB(O[Na])O[Na])(O[Na])O[Na]
8,90,[Na]OB(CB(O[Na])O[Na])O[Na]
8,110,CC(CB(O[Na])O[Na])B(O[Na])O[Na]
8,113,CC(B(O[Na])O[Na])B(O[Na])O[Na]
8,114,CCC(B(O[Na])O[Na])B(O[Na])O[Na]
8,134,O=C(O[Na])C(F)B(C(F)C(=O)O[Na])C(F)C(=O)O[Na]
8,169,CC(C)(B(O[Na])O[Na])B(O[Na])O[Na]
8,177,O=P(O[Na])(O[Na])C(F)(F)B(O[Na])O[Na]
8,234,CCC(B(O[Na])O[Na])(C(=O)O[Na])C(=O)O[Na]
8,243,CC(B(O[Na])O[Na])(C(=O)O[Na])C(=O)O[Na]
8,244,CB(P(=O)(O[Na])O[Na])P(=O)(O[Na])O[Na]
8,259,O=C(CB(O[Na])O[Na])O[Na]
8,290,CCCC(B(O[Na])O[Na])B(O[Na])O[Na]
8,303,CCCB(CC(=O)O[Na])CC(=O)O[Na]
8,305,CC(B(C(C)C(=O)O[Na])C(C)C(=O)O[Na])C(=O)O[Na]
8,321,O=BCN(CC(=O)O[Na])CC(=O)O[Na]
8,355,[Na]OB(O[Na])C(B(O[Na])O[Na])=C1CCCCC1
