Reactant,R_SinglePointEnergy,R_SolvEnergy,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,R_SolvEnergy,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
mol1294_,-694.3365491,-0.06534529999998995,0.080015,-694.3218794,mol1294_minus1Na,-532.034839,-0.028870799999936025,0.077545,-531.9861648,3.818781588845687
mol1410_,-746.2970808,-0.07365289999995639,0.044255,-746.3264786999999,mol1410_minus1Na,-583.9908288,-0.037595599999917795,0.0446,-583.9838244,4.007621121933061
mol169_,-861.7157509,-0.07895199999995839,0.080615,-861.7140879,mol169_minus1Na,-699.4155808,-0.03651239999999234,0.080211,-699.3718822000001,3.9954140503667976
mol2037_,-686.156371,-0.026011899999957677,0.127203,-686.0551799,mol2037_minus1Na,-523.797206,-0.0011041000000204804,0.127052,-523.6712580999999,5.130571023475351
mol2340_,-810.9018437,-0.08486219999997502,0.137675,-810.8490309,mol2340_minus1Na,-648.630587,-0.02894519999995282,0.137748,-648.5217842,3.588357466445577
mol2428_,-749.670448,-0.06577530000004117,0.089895,-749.6463283,mol2428_minus1Na,-587.3645741,-0.03175209999994877,0.089945,-587.3063812,3.933954193397178
mol2479_,-733.6027142,-0.075297399999954,0.108715,-733.5692966,mol2479_minus1Na,-571.3126933,-0.029104899999992995,0.107871,-571.2339271999999,3.809388184693517
mol2701_,-599.6434706,-0.09376650000001518,-0.018743,-599.7559801,mol2701_minus1Na,-437.3665545,-0.03143779999999197,-0.017975,-437.4159673,3.935741987874367
mol2963_,-861.790759,-0.07748770000000604,0.078137,-861.7901097,mol2963_minus1Na,-699.4837222,-0.03820749999999862,0.081751,-699.4401786999999,4.205630925015278
mol607_,-824.4736335,-0.08491600000002109,0.078705,-824.4798445,mol607_minus1Na,-662.1707494,-0.0506795000000011,0.078041,-662.1433879,3.83897250971583
mol907_,-639.5772074,-0.05489620000003015,0.055784,-639.5763196,mol907_minus1Na,-477.3532946,-0.01662629999998444,0.060413,-477.3095079,1.943831452039627
