NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
8.0,8.0,5.0,3.0,0.0,0.0,0.0,2.0,129.863,124.823,18.46,-0.2099,34.246,0.21867729,0.88483467,0.46590515,0.59655119,356.23664598,456.13017121,764.61195659,2.46408231,0.15626647,0.66666667
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,266.332,263.308,44.76,-0.5243,61.6875,0.51345273,0.97947278,0.20157646,0.88442128,624.03531623,2737.96910923,3095.77478844,3.48188901,0.13344973,1.0
17.0,17.0,8.0,5.0,1.0,1.0,1.0,4.0,257.925,251.877,44.76,-0.7781,66.388,0.77131101,0.99651141,0.08345663,0.96394382,404.2480127,4669.16028301,4843.80956818,4.38463261,0.07868473,1.0
6.0,6.0,5.0,2.0,0.0,0.0,0.0,2.0,103.825,100.801,18.46,-0.6954,25.296,0.12764198,0.82322143,0.56772043,0.65276181,193.2677719,222.21821633,340.4277218,1.90796386,0.3738323,0.0
8.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,131.879,124.823,18.46,0.0848,34.53,0.19624391,0.84663481,0.53217432,0.54708707,417.17621575,428.86645384,783.90895981,2.48590506,0.27551154,0.0
7.0,7.0,5.0,3.0,0.0,0.0,0.0,2.0,117.852,112.812,18.46,-0.3053,29.913,0.13894311,0.85322361,0.52154527,0.71512676,266.95838277,366.04508574,511.86042087,2.20390795,0.45397099,0.0
16.0,16.0,10.0,6.0,1.0,1.0,1.0,4.0,253.678,249.646,36.92,-2.5226,64.574,0.51558425,0.97973636,0.20029147,0.86547605,692.80229854,2993.65617069,3458.97055845,3.75282017,0.13851918,1.0
13.0,13.0,7.0,4.0,1.0,1.0,1.0,3.0,203.877,199.845,27.69,-0.9557,51.89,0.21179667,0.90773794,0.41953763,0.85766948,684.80356353,1399.95811878,1632.28161161,3.01925431,0.2897071,1.0
13.0,13.0,7.0,4.0,1.0,1.0,1.0,3.0,203.877,199.845,27.69,-0.9557,51.89,0.48990737,0.97672274,0.21450568,0.88436398,451.46521296,1861.30072992,2104.67723511,3.29144325,0.33234885,1.0
13.0,13.0,7.0,4.0,1.0,1.0,1.0,3.0,203.877,199.845,27.69,-0.9557,51.89,0.08954918,0.8090182,0.58778359,0.89854895,772.57804143,1181.04553513,1314.39197857,2.83102003,0.34232654,1.0
