Molecule,Cluster
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,2
9,0
10,0
11,0
12,3
13,3
14,0
15,4
16,1
17,1
18,1
19,3
20,4
21,0
22,0
23,0
24,0
25,3
26,0
27,5
28,1
29,1
30,4
31,0
32,3
33,4
34,6
35,4
36,4
37,7
38,3
39,0
40,3
41,3
42,2
43,0
44,3
45,6
46,6
47,6
48,0
49,0
50,0
51,4
52,0
53,0
54,0
55,3
56,0
57,3
58,4
59,3
60,0
61,1
62,0
63,1
64,1
65,0
66,3
67,0
68,0
69,0
70,0
71,0
72,7
73,5
74,5
75,5
76,5
77,5
78,1
79,3
80,4
81,4
82,4
83,4
84,7
85,0
86,3
87,3
88,7
89,3
90,0
91,3
92,1
93,2
94,7
95,7
96,3
97,0
98,4
99,7
100,1
101,7
102,0
103,3
104,3
105,3
106,7
107,3
108,4
109,0
110,3
111,3
112,0
113,3
114,4
115,3
116,0
117,7
118,5
119,5
120,3
121,2
122,7
123,7
124,0
125,3
126,6
127,4
128,3
129,3
130,4
131,4
132,4
133,3
134,3
135,0
136,3
137,2
138,4
139,8
140,5
141,4
142,5
143,6
144,6
145,4
146,1
147,0
148,3
149,4
150,5
151,0
152,4
153,3
154,3
155,6
156,3
157,4
158,6
159,5
160,5
161,5
162,7
163,3
164,3
165,5
166,5
167,5
168,4
169,4
170,3
171,3
172,4
173,3
174,4
175,6
176,4
177,6
178,4
179,4
180,3
181,3
182,4
183,4
184,6
185,5
186,4
187,4
188,1
189,6
190,0
191,4
192,6
193,6
194,4
195,3
196,4
197,4
198,0
199,3
200,5
201,1
202,4
203,3
204,9
205,5
206,4
207,5
208,7
209,4
210,4
211,3
212,5
213,4
214,2
215,2
216,5
217,3
218,7
219,2
220,5
221,7
222,7
223,5
224,9
225,7
226,7
227,8
228,0
229,1
230,5
231,2
232,7
233,1
234,10
235,1
236,7
237,0
238,5
239,0
240,3
241,7
242,3
243,5
244,1
245,3
246,7
247,4
248,3
249,5
250,6
251,1
252,8
253,2
254,7
255,3
256,10
257,0
258,7
259,9
260,5
261,5
262,7
263,3
264,3
265,8
266,7
267,10
268,7
269,1
270,7
271,9
272,2
273,3
274,10
275,7
276,7
277,9
278,9
279,10
280,7
281,4
282,6
283,4
284,4
285,9
286,2
287,10
288,3
289,6
290,0
291,4
292,4
293,1
294,6
295,6
296,3
297,5
298,5
299,0
300,0
301,4
302,6
303,3
304,8
305,0
306,0
307,7
308,8
309,0
310,5
311,5
312,6
313,0
314,9
315,3
316,9
317,5
318,9
319,9
320,6
321,4
322,3
323,6
324,4
325,3
326,3
327,4
328,6
329,3
330,3
331,3
332,6
333,10
334,0
335,0
336,0
337,9
338,9
339,9
340,5
341,5
342,9
343,0
344,9
345,0
346,1
347,4
348,3
349,9
350,7
351,10
352,9
353,10
354,10
355,0
356,8
357,0
358,6
359,5
360,9
361,10
362,10
363,4
364,1
365,6
366,5
367,9
368,3
369,3
370,0
371,9
372,9
373,9
374,9
375,9
376,9
377,9
378,9
379,0
380,9
381,9
382,0
383,9
384,0
385,9
386,9
387,7
388,4
389,0
390,0
391,9
392,9
393,10
394,1
395,4
396,0
397,8
398,6
399,0
400,4
401,0
402,9
403,6
404,0
405,8
406,0
407,9
408,4
409,2
410,5
411,2
412,7
413,2
414,5
415,2
416,5
417,5
418,3
419,3
420,9
421,2
422,5
423,5
424,2
425,5
426,8
427,3
428,7
429,9
430,3
431,7
432,7
433,7
434,7
435,5
436,5
437,5
438,5
439,0
440,10
441,10
442,9
443,10
444,5
445,7
446,5
447,9
448,4
449,5
450,5
451,9
452,3
453,4
454,6
455,6
456,6
457,4
458,9
459,0
460,0
461,0
462,10
463,5
464,1
465,5
466,0
467,8
468,0
469,0
470,4
471,0
472,9
473,0
474,4
475,9
476,5
477,9
478,9
479,9
480,9
481,9
482,6
483,3
484,5
485,5
486,4
487,4
488,5
489,3
490,3
491,7
492,5
493,9
494,9
495,0
496,7
497,5
498,5
499,5
500,5
501,5
502,5
503,9
504,7
505,5
506,5
507,5
508,5
509,1
510,5
511,3
512,3
513,5
514,4
515,7
516,7
517,9
518,1
519,2
520,5
521,4
522,1
523,4
524,9
525,1
526,7
527,7
528,7
529,6
530,6
