Molecule,Cluster,data,Cluster_center,Distance_to_center
0,14,[ 0.6426376526298325 -0.1381900548173425 -0.4193371913063244  0.3501437206458288  0.0412151185943406 -0.1148010320377537],[ 0.5636901138632237 -0.1146692924881631 -0.4507217073864545  0.1995908346880317 -0.0612409346756008 -0.0692688075448705],0.2073825589980501
1,6,[-1.5712188124878235e-01  4.7466221643553852e-01  1.2605897199450891e-01  1.4832674933059573e-02  4.8467815899318222e-04 -6.5856347536132171e-05],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.10934044812860517
2,6,[-0.2525558683159833  0.7889503461158576  0.4510028387908147  0.0144343935644559  0.0423272167709625 -0.0652758194394791],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.4038389695269417
3,0,[ 1.088595313730568  -0.5560653745839963 -0.1785298076491742  0.0930884278613362  0.2375428104882727  0.0537805074004202],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.22820218053436978
4,0,[ 0.9608213074242707 -0.5562353535128725 -0.1060206436702648  0.3581494630833233  0.3528125567291615 -0.0315894971330232],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.248635789590082
5,0,[ 1.0354938853437834 -0.497102584235557  -0.0599359603583334 -0.0376235794463168  0.2477891018099565  0.0260435477561463],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.23398863841556494
6,6,[-0.1972978808276476  0.4341266852084983  0.178510536223408   0.0599446188671152 -0.0533483413300638 -0.1262041257403738],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.17640279177958684
7,16,[ 0.0387650552478662  0.1245133967930157 -0.2811488994108344 -0.1810485712899758 -0.0249318825937897 -0.0429306561727698],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.22783178211071292
8,1,[ 0.0588358248712251  0.4642086122380736 -0.0288857228558697 -0.1302699112667975  0.0036252779222449 -0.0336215737042554],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.32995390971146726
9,16,[ 0.0311930412102395 -0.0902684970206026 -0.4075809077610485 -0.3663092104346349 -0.0727401000430106 -0.027587487523454 ],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.24028856154554232
10,15,[-0.2025362372557853  0.1876345620319144 -0.055980165799391   0.0904016348473313  0.0141756694204355 -0.0395668849353384],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.14019904272681794
11,1,[-0.1801903303448703  0.2601878207294492  0.0644688779110371 -0.1181193623812326 -0.099410866104856  -0.1067748097332875],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.22322951230658547
12,3,[-0.0056259485021538  0.3334018616541228  0.0700129775496976 -0.1104394837844783 -0.2211920551089009  0.0441622200524674],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.24505094199404298
13,0,[ 1.0027357340821752 -0.471766292353319  -0.0046759622138011 -0.061589391447176   0.2756733631668569  0.0295929957752875],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.2506188909787586
14,0,[ 0.9733800813023062 -0.481115122308133  -0.0736782735010164  0.1971148467412213  0.3376732424305325  0.0646881392467355],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.11312798270240632
15,15,[-0.1481950329383367  0.296742474203682  -0.0490069467514829  0.2704664128348599  0.0116634331649582 -0.0228234635471453],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.21241289437717067
16,3,[-0.1007864780099059  0.243057004143004   0.1163385326227763  0.019917543085395  -0.2274413362743579 -0.0848517391152808],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.20305971429458303
17,11,[-0.2779851482414825 -0.237440605829756  -0.1920018364976694  0.0274420413332189 -0.1169944570970882  0.0013777911480778],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.27401506561860295
18,6,[-0.089866373462882   0.3838214798816785  0.0096365446167729  0.0082175597225822 -0.0409338031562151  0.0073901072118516],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.25741398696529794
19,11,[-0.095860993519633  -0.323390717059942  -0.4522375475313054 -0.1358513517303149 -0.102150000736355   0.0393914997598224],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.1700468795739727
20,6,[-0.1193331255332682  0.440623012930982   0.1209109337584917 -0.1800348650963323 -0.0689409880553294  0.0175467793844036],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.2457385054259615
21,11,[-0.0305283389425975 -0.3484341660638645 -0.5345213227891238 -0.1978999360426783 -0.041151972493766  -0.0403367080008822],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.26210413872183025
22,1,[-0.0018867513577814  0.2169648072942854 -0.2147918248013301 -0.0476256184506888  0.0071050952506555 -0.0605598095092554],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.2611699737364193
23,6,[-0.3133073624557171  0.5848010772850535  0.0244996528169469 -0.0383887585301379  0.3394679740543874  0.0474357477102266],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.42586666109555343
24,14,[ 0.6426376526298325 -0.1381900548173425 -0.4193371913063244  0.3501437206458288  0.0412151185943406 -0.1148010320377537],[ 0.5636901138632237 -0.1146692924881631 -0.4507217073864545  0.1995908346880317 -0.0612409346756008 -0.0692688075448705],0.2073825589980501
25,14,[ 0.6890413535992519 -0.2511679567310424 -0.35011957352983   -0.2224633615219484 -0.0629916258511331 -0.0474935107348124],[ 0.5636901138632237 -0.1146692924881631 -0.4507217073864545  0.1995908346880317 -0.0612409346756008 -0.0692688075448705],0.47230560126804155
26,12,[-0.62374741198497   -0.5831436009013939 -0.0318412025854135  0.1399241597330336 -0.2277742200660923 -0.1854768587328196],[-0.3520400458329301 -0.2982399290985112  0.119502335432109   0.2862023044405847 -0.1116638423145351  0.0007553115384552],0.49745471976085054
27,15,[-0.0035308426114567  0.2180039244920874 -0.0451417782134631  0.2128557071107395  0.0814434075075673 -0.0153450402531073],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.14705181998121286
28,11,[ 0.0386073539433607 -0.3154433298387121 -0.4385537584064441 -0.0488389258418511  0.0763374021269888 -0.0306815452100623],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.20921495448470154
29,6,[-0.0776873021641561  0.3309829664090045  0.1242405052893996 -0.0631478182842622  0.0302352627377904  0.0211684150071947],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.20779289768349216
30,1,[-0.1403600597808915  0.2394339996333681 -0.0134094281921482 -0.1896419802389186 -0.0783261428580689  0.0048067739781935],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.13837298660109978
31,6,[-0.0768720782260708  0.5003876623230626  0.3133012913278354 -0.0946265247361391  0.024146331910958   0.005877433137691 ],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.15835898773169169
32,6,[-0.0922270457662608  0.4779997461195072  0.0545634193345091  0.1719246008742898 -0.0059037122765631 -0.0191247302337859],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.2521729557305261
