Molecule,Cluster,data,Cluster_center,Distance_to_center
0,2,[-0.4998845049467576  0.0789478348058058  0.160270909316631   1.023581336734224   0.2284928107554852  0.0776992049631048  0.1339788832878783  0.0675666716923445 -0.1902235388544641],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.7756128581989532
1,2,[-0.8721081855087851  0.2254983226196015 -0.2802805966608479  0.3224541892089562  0.3815731389855588  0.0957041777940246  0.1734630490520853 -0.0223837926181118  0.0247654250515063],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.2996285598100855
2,2,[-0.7294973706377413  0.2240770135984142 -0.6197133497085308  0.505942961724058   0.1947614704303345 -0.0187402594481732  0.1093057429181077  0.1511174486257422 -0.1064808713866546],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.3933336631861869
3,2,[-0.7163392260664889  0.4934511981926192 -0.3539904906019776  0.5631177230826501  0.210613232282795   0.0068100993269464  0.0549603845759332  0.0585748729250288 -0.0169378620000124],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.29660878798595347
4,2,[-0.8874365202857987  0.2227992199435851 -0.3999624836024011  0.3232791745191769  0.3153542915433507 -0.0168438297127473  0.1801236843637518  0.0573183114466661 -0.0198903638896854],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.2962774223062428
5,2,[-0.6906470360251268 -0.0244651868863765 -0.0721764532387938  0.8486894000631204  0.1603344512067395  0.2342898705324035  0.189328424559217   0.0778198551607311  0.0176405887118985],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.5475863746622986
6,6,[ 0.8791640871363094  0.1717672417991367  0.0910523295344592  0.3310574606743457  0.1135138769996267 -0.2236972573680257 -0.0645420041540591  0.1900332119972932 -0.0402781395260905],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3506105232752029
7,2,[-0.8524807943865083  0.5270804467192597 -0.313796024302107   0.5142005337570403  0.148821724357687  -0.0685478404948335  0.0987366192301669  0.030390127839759  -0.0134280201968148],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.3320931789268284
8,7,[ 0.4659811246341328  0.3560083226200884 -0.6954387054910752 -0.2365745335138452 -0.1008507254600489  0.0104448657265382  0.0542386100046213  0.3178419325986772  0.0136238710489136],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.479362112659
9,2,[-0.6990563109170014 -0.492722081087994  -0.0195099665741037  0.7933691296913629  0.3527911324198914  0.0460853490943556  0.2700807661483831  0.1205103045951339  0.1273261239023565],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.8682359097304919
