Molecule,Cluster,data,Cluster_center,Distance_to_center,smiles
2963,0,[ 0.2495455183780493 -0.2058402350880003 -0.0885624428085861 -0.3108641822204908  0.2325990079707103  0.0392636429835447  0.0744254574798454 -0.1682197480737354 -0.0466722133748007],[ 0.2375768505373571 -0.1545492062714881  0.063371252230152  -0.2856063441868819  0.2272977626342499 -0.0150944172334486  0.1271644770746047 -0.0965084445384889  0.0142098375542327],0.20275420093731983,Cc1cccnc1OB([O][Na])[O][Na]
2479,1,[ 0.5566688548694299 -0.2413925356125861 -0.4082207025548881  0.1476021525609302  0.0101138815492396  0.1038132711670513 -0.1626666284263429 -0.0519664715871874 -0.0505338858746247],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.20612651692593473,[Na][O]B([O][Na])C12CCCC1C2
607,2,[-0.8474586754453153  0.1049309435696094 -0.3096385393911565  0.4670804748895963  0.333053214365211  -0.0559169231555315  0.069444606119423  -0.0401869090383375 -0.0259639197112343],[-0.8109856150954514  0.2324410270726651 -0.2976379076905399  0.5528323015757606  0.2589485425843574  0.0079074645149122  0.0788685230507611 -0.0084017742101694 -0.0022360100509027],0.19056145993339374,CN1c2ccc(B([O][Na])[O][Na])cc21
907,3,[-0.2792470110919009  0.5957548724168551  0.3561620612449849 -0.2036908598152843 -0.0214769187292711  0.0764504992390566 -0.2689048817456486 -0.0274977103788667  0.1013830385358982],[-0.2421823645266461  0.5043608494031737  0.2754571075801968 -0.216909549615682  -0.1268425622910102  0.0667499190631451 -0.0773672155731852 -0.0483211591401656  0.0541040721723134],0.2587784633893507,[B]c1c(C(=O)[O][Na])n[nH]c1C
1294,4,[-0.3068746171368344 -0.557503924306061   0.2023037769124557 -0.1138012356073473  0.0397419596951956  0.2201302155268479 -0.053487269007851   0.1322442371105325  0.0587663839418356],[-0.2786373820387271 -0.5298949276051771  0.2399578029211727  0.0008392265522396 -0.0379644834335693  0.1557081415706476 -0.0499799862541629  0.0909830480103215  0.0659874408609354],0.1675568104300529,[Na][O]B([O][Na])C1CC=CC1
2037,5,[ 0.4976171570352461  0.9822996237144219  0.2146238591779768  0.0297761438191214 -0.149629902971161   0.2959493439193967  0.0364674504884766  0.0354947137803544  0.0806657905930408],[ 0.4903211924899848  0.8511746111495823  0.3261687693446007  0.030265395551969  -0.0601681959668175  0.2968021285804197  0.0360204987909984 -0.0143019425272795  0.0589084952923344],0.20161080644639334,C[B]c1ccc(C(=O)[O][Na])c(C)c1
2340,6,[ 0.5906817845082426  0.1794771820177599  0.3730842373262939  0.1282564684836964  0.119364177492936  -0.1574697623390967  0.1295527224733921  0.1122422328705322 -0.1064264494378432],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.2587699387268396,[Na][O]B([O][Na])/C1=C/CC/C=C\CC1
2428,7,[ 0.1351928863163127  0.1686542295167502 -0.3589718357368199 -0.2697434452633241 -0.0677852529696807  0.0180254412456301 -0.0072226013201462 -0.0620599472053579  0.0210575323717505],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.20995277895372405,C[C@H](CC#N)CB([O][Na])[O][Na]
2701,8,[-0.3359386402246033 -0.0182877598855364  0.5405848339001359 -0.0384710241595664 -0.0860619401486518 -0.0955030335584124 -0.040835593597279   0.0899681134101683 -0.1273619378010123],[-0.2698492113982845 -0.0661925329785894  0.5352486216415745 -0.0402943302169309 -0.0153910610999193 -0.0825069658269472 -0.0601337998618106  0.0306231399348201 -0.0876278038480917],0.13164649049154878,FB([O][Na])[O][Na]
169,9,[-0.5436334472121426 -0.0966626774832265  0.0656726511849462 -0.3493264182565992 -0.0707946722288902 -0.0703324924656168 -0.0958268595095033  0.0661462523548399  0.0140970828199553],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.1283583104675183,COc1ccc(B([O][Na])[O][Na])nc1
1410,10,[-0.012678424265082  -0.1059852158503319  0.0662512418104472  0.0941378459601905 -0.3023263914511108 -0.0686927302439134  0.0817961843202328 -0.1984172887176576 -0.0353029816165272],[ 0.017465098056698  -0.1331099329204599 -0.0250639625478628  0.1154856288383475 -0.3259263563891393 -0.0623994902111426  0.1245963648988318 -0.0906421109622006  0.0349396171174329],0.17151241029376973,[Na][O]B([O][Na])C1COC=N1
