Molecule,Cluster,data,Cluster_center,Distance_to_center
316,0,[ 0.9938291565119706 -0.5113633611388102 -0.0434438931275296  0.1358617486018592  0.2587677526029309 -0.0100116974688916],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.08529492004169967
257,1,[-0.0072479694563353  0.1780547723290914 -0.0002315501128704 -0.1793720155617612  0.0068585582375369  0.0012579793571128],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.07043736419664164
590,2,[-0.108325822322015  -0.2032215530474067 -0.230238873473032   0.1053905790445387  0.0846224983199445 -0.0303639032931569],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.09026286302495505
560,3,[-0.0269250742278566  0.3718867612762166  0.0829019984530455  0.1287344534315928 -0.2302517879864236  0.0533928744379666],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.18128455193487839
721,4,[-2.2846053049390047 -0.7842803830100451  0.8585150044793758  0.4029279226898524  0.3348270720494198  0.0738116261083944],[-1.9780221391258377 -0.7269255814093271  0.7793293825620993  0.3331995977862793  0.2054083645414053 -0.0749093084850398],0.3837738019698
553,5,[ 0.6100016692888468  0.5868493090954415  0.059580868642265  -0.123368296764621  -0.1038931115232235  0.1275801536004599],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.1781506050487318
1,6,[-1.5712188124878235e-01  4.7466221643553852e-01  1.2605897199450891e-01  1.4832674933059573e-02  4.8467815899318222e-04 -6.5856347536132171e-05],[-0.1579591347644964  0.470588189492842   0.2315980939013907  0.0097792103662727  0.0282743707026443  0.0012472085064281],0.10934044812860517
582,7,[-0.7703256572220956 -0.321698423219491   0.2966071462828002  0.1787208687267721 -0.3097887214750668  0.0083474183885415],[-0.7184454221403741 -0.4514879527971596  0.4318414956775824  0.3593768062711064 -0.4239515795035994 -0.0095874706668247],0.28951096042300506
634,8,[ 0.3595690716047367 -0.3314140259667226  0.2588860455794385 -0.2316448940671935  0.0610816580525658  0.0860761357190028],[ 0.4393423178376795 -0.5037633302329061  0.3021558605771394 -0.1892323453636002  0.0030849113807262  0.0256666972870739],0.2162222873554614
827,9,[-1.1372179652306653 -0.276174196651096  -0.039191672554724  -0.0161155798665502  0.5873187311796069  0.1799974760347078],[-1.1155980142987363 -0.0850020261915282  0.2135055458349384 -0.2225577643138235  0.4645008996356217  0.1324419631449789],0.40104142839503215
101,10,[ 0.5320606021372836 -0.0674823772262812  0.7709929297464346 -0.0296532733976416  0.2043193985724882 -0.132543459004516 ],[ 0.4446541621255925 -0.0019590057539666  0.7084606338538603  0.0384392431242359  0.1162524540500033 -0.0383529401014108],0.1926336350932972
559,11,[-0.1071600364813705 -0.2844356316405823 -0.2610045200147691 -0.0938997092593438  0.004249870781756   0.0077670083659307],[-0.0736804139004434 -0.2816178670567748 -0.3216575122584134 -0.0709410085037222 -0.0479759496040815 -0.0104047456555588],0.091610377649566
470,12,[-0.3950664790386069 -0.2300604089793694  0.2461584096425794  0.3288025545954069 -0.0171427049857834  0.0159068269563726],[-0.3520400458329301 -0.2982399290985112  0.119502335432109   0.2862023044405847 -0.1116638423145351  0.0007553115384552],0.18308489065764208
448,13,[-0.2296874155125004 -1.1365097579752972  0.8973115176372248  0.044293149168266  -0.076118122510917  -0.2059173342398534],[-0.1983204401844639 -1.0200489584296113  0.8016157057226405 -0.1341786842612274 -0.258683450383928  -0.0311161059410856],0.3456044806912439
227,14,[ 0.6443574027260733 -0.1529560216389273 -0.4176706050993342  0.3102893458001305  0.0339638955886117 -0.1109585843315914],[ 0.5636901138632237 -0.1146692924881631 -0.4507217073864545  0.1995908346880317 -0.0612409346756008 -0.0692688075448705],0.17922504858568097
248,15,[-0.0461983931536948  0.1261486605825527 -0.0729026800462459  0.1390298931384413  0.1295228402377435 -0.0558329558818015],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.09632087641633688
738,16,[-0.0858810365702644 -0.0306428084559172 -0.2525794186962034 -0.242560576158198  -0.0656433980095256 -0.006542401517073 ],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.07748530231659549
