idx,canonicalsmiles,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
0.0,[Na][O]B([O][Na])c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,
1.0,N#Cc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
2.0,[Na][O]B(CCc1ccccc1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
3.0,Cc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
4.0,COc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
5.0,Fc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
6.0,CCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
7.0,Fc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
8.0,CCCCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
9.0,COc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
10.0,N#Cc1cccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
11.0,COc1cccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
12.0,O=Cc1ccsc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
13.0,[Na][O]B([O][Na])c1cccs1,,,,,,,,,,,,,,,,,,,,,,,
14.0,O=Cc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
15.0,Fc1ccc(B([O][Na])[O][Na])cn1,,,,,,,,,,,,,,,,,,,,,,,
16.0,CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
17.0,CCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
18.0,CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
19.0,[Na][O]B([O][Na])c1cccnc1,,,,,,,,,,,,,,,,,,,,,,,
20.0,Cc1csc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
21.0,O=Cc1ccccc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
22.0,CCc1ccc(B([O][Na])[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
23.0,Cc1ccc(B([O][Na])[O][Na])cc1F,,,,,,,,,,,,,,,,,,,,,,,
24.0,Cc1ccc(B([O][Na])[O][Na])c(F)c1,,,,,,,,,,,,,,,,,,,,,,,
