demension,accumalative_explained_variance_ratio
2,0.48171793942327845
3,0.6399357553226985
4,0.7826387811954485
5,0.844622975663811
6,0.8916929905632935
7,0.9235121130598116
8,0.9455908926729073
9,0.9586550774861902
10,0.9698863516095635
11,0.9769711775053501
12,0.9826377627652698
13,0.9878589691428421
14,0.9914033592657419
15,0.9945601932446828
16,0.9968327655189295
17,0.9980976034772171
18,0.9990719376724473
19,0.9997055101486381
20,0.9998737365062954
21,0.9999423597944188
22,0.9999833237727785
