Molecule,Cluster,data,Cluster_center,Distance_to_center,canonicalsmiles,scscore,spacial_score,capacity
6,6,[ 0.8791640871363094  0.1717672417991367  0.0910523295344592  0.3310574606743457  0.1135138769996267 -0.2236972573680257 -0.0645420041540591  0.1900332119972932 -0.0402781395260905],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3506105232752031,CCCCB([O][Na])[O][Na],1.5337743915544282,89.0,183.71797976474951
16,6,[ 1.2431510871698486  0.5038597618756674  0.7357137960264979  0.6409023596295336  0.2631243243182441 -0.0287096112259387 -0.119339735556939   0.182317951531193   0.0877688282993073],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.9773259131122948,CB([O][Na])[O][Na],1.4456419707936572,53.0,258.18016427214604
17,6,[ 1.0036933396571286  0.2358275241720453  0.3707330341810045  0.488588249912963   0.192089120736905  -0.4375225802587121 -0.114032065364589   0.1688928961465677  0.0018376704736075],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5835232752388078,CCCB([O][Na])[O][Na],1.6686725698688984,77.0,203.2587110575266
18,6,[ 1.1343094260264792  0.3506063862495046  0.49539848561529    0.538569821130149   0.1997838839585244  0.0494543086620281 -0.0757279573511684  0.1992421655989916  0.0024831728751154],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.7040277699732302,CCB([O][Na])[O][Na],1.4709168869281113,65.0,227.45100257573534
29,6,[ 0.9030863733008341  0.1327838476795543  0.2282861596888706  0.4323107050024998  0.1799147641615693 -0.2096778315585724 -0.2163412033313697  0.0028246862698566 -0.0220747519958896],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4012523680594382,[Na][O]B([O][Na])C1CCC1,1.874548710922182,176.0,186.2919977451911
37,6,[ 0.3613504149273202 -0.2430001544033114  0.2470220646719976  0.2756294382710238 -0.062445760937059  -0.0733711348550652  0.0166321285195766 -0.1228294799578935 -0.0522938180947528],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5307989195782897,[Na][O]B([O][Na])C1=CCCS1,1.9226972487474843,174.0,154.10717171659098
61,6,[ 0.9302996957646753  0.0331255665557294  0.1887832880579121  0.4424301362767021  0.1474267113300394 -0.1939396787083155 -0.1013187006871875  0.1171765831847164 -0.0936565710329935],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.4005084344635564,CC(C)CB([O][Na])[O][Na],1.600243123544189,95.0,183.71797976474951
63,6,[ 1.0360087129735724  0.2283068804840491  0.323303797201426   0.4739268462136624  0.1705754802474514  0.053681120236012  -0.1054215358020026  0.1202751886276454 -0.0684272284566133],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5211521439911498,CC(C)B([O][Na])[O][Na],1.6586579720029992,83.0,203.2587110575266
64,6,[ 0.9996228108164291  0.2971442273800002  0.3780140820828262  0.4714639758944061  0.2117344028696022 -0.200619788031449  -0.198826615738106   0.0643721978155249 -0.0010575174875835],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.5215191726632982,[Na][O]B([O][Na])C1CC1,1.6289913289524895,152.0,206.41410991241202
75,6,[ 0.6924413861725944 -0.0104198573451098  0.1805031354187529  0.1362260659125424  0.303846536100019  -0.2645487458045179 -0.1486688810962354 -0.0681417434798966  0.0278511486259604],[ 0.6476565875622465  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.3851338095159298,[Na][O]B([O][Na])[C@@H]1CCOC1,2.5481569182428663,254.0,167.65103012437095
